O=C2C(O[C@@]1([H])O[C@@]([H])(CO)[C@](O)([H])[C@](O)([H])[C@@]1(O)[H])=C(OC=3/C=C(/O)C=C(O)C2=3)C4=CC(OC)=C(O)C(=C4)OC,Compound428
O=C2C(O[C@@]1([H])O[C@]([H])(CO)[C@](O)([H])[C@@](O)([H])[C@@]1(O)[H])=C(OC=3/C=C(/O)C=C(O)C2=3)C4=CC(OC)=C(O)C(=C4)OC,Compound429
O=C1C[C@]([H])(OC=2C=C(/C=C(/O)C1=2)OC)C3=C/C=C(/O)C=C3,Compound430
O=C1C(=COC=2/C=C(/O)C=CC1=2)C3=CC=C(C=C3)OC,Compound431
O=C1C=C(OC=2C=C(/C=C(/O)C1=2)O[C@@]3([H])O[C@@]([H])(CO)[C@@](O)([H])[C@@](O)([H])[C@]3([H])O[C@@]4([H])O[C@@](C)([H])[C@](O)([H])[C@](O)([H])[C@@]4(O)[H])C5=CC(O)=C(C=C5)OC,Compound432
O=C1C(OC)=C(OC2=C1C(O)=CC(OC)=C2O)C3=CC(OC)=C(C=C3)OC,Compound433
O=C(/C=C/C=1C=CC(=CC=1OC)OC)C=2C=CC=CC=2O,Compound434
O=C(/C=C/C1=C/C=CC=C1)C2=C(OC)C=C(/C=C2/O)OC,Compound435
O/C2=C/C=1OC[C@]([H])(CC=1C=C2)C3=C/C=C(/O)C=C3,Compound436
O=C(/C=C/C=1C=CC=CC=1O)C2=CC=CC=C2,Compound437
O=C(/C=C/C1=C/C=C(/O)C=C1)C2=CC=CC=C2,Compound438
O=C(/C=C/C1=C/C=CC=C1)C2=C/C=C(/O)C=C2,Compound439
O=C(/C=C/C1=C/C=C(C=C1)C(C)(C)[H])C2=C/C=C(/C)C=C2,Compound440
O=C1C=C(OC2=CC(OC)=C(OC)C(OC)=C12)C3=CC=C(C=C3)OC,Compound441
O=C2C=C(OC3=CC(O[C@@]1([H])O[C@@]([H])(C(=O)O)[C@@](O)([H])[C@](O)([H])[C@@]1(O)[H])=C(O)C(O)=C23)C4=CC=CC=C4,Compound442
O=C1C=C(OC2=C1C(O)=CC(O)=C2/C4=C3\OC(=CC(=O)C3=C(O)C=C4O)C5=C/C=C(/O)C=C5)C6=C/C=C(/O)C=C6,Compound443
O=C(/C=C/C1=C/C(O)=C(O)C=C1)C2=C(O)C=C(O)C=C2O,Compound444
