PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,RESPONSE_VALUE
196,24798634,16190305,CC1=CC(=NO1)C2=NN=C(O2)CCC(=O)NC(C)C3=CC=CC4=CC=CC=C43,Active,44,,,44
197,24804594,851542,COC1=C(C(=CC(=C1)CNC2=CC=C(C=C2)N3CCCC3)Cl)OC,Active,48,,,48
198,24804789,3155287,C=CS(=O)(=O)C1=C(C(=C(S1)Cl)N2CCOCC2)[N+](=O)[O-],Active,48,,,48
199,24805078,802809,C1=CC2=C3C(=C1)NC(=NC3=CC=C2)C4=CC=C(C=C4)F,Active,49,,,49
200,24807251,3157646,C1=COC(=C1)C2=NC3=C(C=C(C=C3)NC(=O)NCCO)N=C2C4=CC=CO4,Active,43,,,43
201,24807284,3157647,COCCNC(=O)NC1=CC2=C(C=C1)N=C(C(=N2)C3=CC=CO3)C4=CC=CO4,Active,48,,,48
202,24808475,16192912,CCN1/C(=C/C2=[N+](C3=C(C=C2)C=C(C=C3)C)C)/SC4=C1C5=C(C=C4)SC=C5.[I-],Active,46,,,46
203,24809038,776370,C1CCN(C1)C2=C3C4=C(C5=CC=CC=C5C3=O)ON=C4C=C2,Active,42,,,42
204,24809589,4915707,COC1=C(C=C(C=C1)S(=O)(=O)NCCOC2=CC=CC3=C2N=CC=C3)OC,Active,44,,,44
205,24809810,752424,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N=C3C=CC(=O)C4=CC=CC=C34,Active,53,,,53
206,24809849,16192986,CCN\1C2=C(C=C(C=C2)C)S/C1=C\C3=[N+](C4=C(C=C(C=C4C=C3)C)C)CC.[I-],Active,45,,,45
207,24810488,9624916,CC1=CC=C(C=C1)NC(=O)C/C(=N/OC(=O)C2=CC=CC=C2)/N,Active,51,,,51
208,24810633,4173573,CC1=CC=CN2C1=NC3=C(C2=O)C=C(C(=N)N3CCCN4CCOCC4)C(=S)N,Active,50,,,50
209,24813565,3122089,C1=CC(=C(C=C1Cl)C2=CC=C(O2)C=C3C(=O)NC(=O)NC3=O)[N+](=O)[O-],Active,45,,,45
210,24813984,6799675,CC1=CC(=C(C=C1C)S(=O)(=O)/N=C\2/C=C(C(=O)C3=CC=CC=C32)SCC(=O)O)C,Active,56,,,56
211,24814501,5867472,CC(C)C1=CC=C(C=C1)S(=O)(=O)/N=C\2/C=CC(=O)C3=CC=CC=C23,Active,42,,,42
212,24814503,5998602,C1=CC=C(C=C1)S(=O)(=O)/N=C\2/C=C(C(=O)C3=CC=CC=C32)NC4=CC=C(C=C4)C(=O)O,Active,47,,,47
213,24815665,16194700,CC1=C(C=C(C=C1)C(=O)N(CCCN(C)C)C2=NC3=C(S2)C=C(C=C3)Cl)C.Cl,Active,57,,,57
214,24816176,9624494,CCOC1=CC=CC=C1/C=N/NC(=O)CNC(=O)COC2=CC=CC=C2,Active,54,,,54
215,24816927,2840530,CN(C)C1=C(C=C(C=C1)C=C2C(=O)NC(=O)NC2=O)[N+](=O)[O-],Active,48,,,48
216,24817414,1472220,COC1=NC=C(C=C1)NC(=O)/C(=C(\S(=O)CC2=CC=C(C=C2)Cl)/Cl)/Cl,Active,40,,,40
217,24820382,16195158,CC1=NN=C(S1)SC2=CC(=C(C3=NON=C23)[N+](=O)[O-])NCCO,Active,55,,,55
218,24820573,3802705,CN1CC(C(C1)C(=O)C2=CC=C(C=C2)F)C3=CC(=C(C=C3)OC)Cl,Active,59,,,59
219,24821219,3157645,C1=COC(=C1)C2=NC3=C(C=C(C=C3)C(=O)NCCCO)N=C2C4=CC=CO4,Active,52,,,52
220,24822003,3721644,C1CN(CCN1CCC2C(=O)NC3=C(O2)C=C(C=C3)[N+](=O)[O-])CC4=CC5=C(C=C4)OCO5,Active,47,,,47
221,24823866,470958,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)NC3=CC=CC(=C3)C(=O)O,Active,60,,,60
222,24825948,2446277,CC1=C(N=C(S1)NC(=O)CN2C=NN=N2)C3=CC=C(C=C3)Cl,Active,53,,,53
223,24828521,284927,CC(=O)NC1=C(C(=O)C2=CC=CC=C2C1=O)NC3=CC=CC=C3OC,Active,42,,,42
224,24831541,4878679,CC1=CC=C(O1)C2=NC3=C(N2C)C(=O)NC(=O)N3CC4=CC=CC=C4,Active,40,,,40
225,24831671,5107205,C1CN(CCN1C2=CC=CC=C2F)C(=O)C3=CC(=O)C4=CC=CC=C4O3,Active,58,,,58
226,24832131,4882752,CC(C1=CC=CC=C1)NC(=O)CN(C)CC2=C(C=C(C=C2)OC)OC,Active,56,,,56
227,24832372,4587062,CCC1=C(C(=NC2=CC=CC=C2N1)NC(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCOCC4)C(=O)OCC,Active,57,,,57
228,24833983,16196586,CC[C@H](C)[C@@H](C(=O)N1CCN(CC1)C2=NC(=NC(=N2)N3CCN(CC3)C(=O)[C@H](CC4=CC5=CC=CC=C5N4)N6C=C(N=N6)[C@H](CC7=CC=C(C=C7)O)N)NCCOCCOCCOCC#C)N8C=C(N=N8)[C@H](CC(C)C)N.Cl,Active,57,,,57
229,24834137,16196665,CC(C)(C)OC(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)C1=C(NC=N1)C(=O)N(C)CC2=CC=CC=C2,Active,45,,,45
230,24834248,2453689,C1=CC=C(C=C1)C(=O)OCC(=O)C2=CC=CN2,Active,52,,,52
231,24834299,135519935,COCCN=C1N(C(=CS1)C2=CC=CO2)/N=C/C3=C(C(=C(C=C3)O)O)O,Active,41,,,41
232,24835186,2096417,CCN(CC)C(=O)COC(=O)C1=CC(=NC2=CC=CC=C21)C3=CC=CO3,Active,45,,,45
233,24835659,2492710,CCOC(=O)C1=CC=C(C=C1)NC(=O)CSCCC(=O)O,Active,50,,,50
234,24837005,2102546,COC1=CC=C(C=C1)N2CCN(CC2)C(=O)C3=CC(=O)NC4=CC=CC=C43,Active,58,,,58
235,24837355,4407278,CC1=C(C=C(C=C1)S(=O)(=O)N2CCCCC2)NC(=O)COC(=O)C3=CC=CC=C3F,Active,48,,,48
236,24840440,4133879,CN(C)CCNC(=O)C(=O)C1C2=CC=CC=C2NC1=O,Active,52,,,52
237,24840637,271296,CC1=CC(=O)C2=C(C=CC(=C2C1=O)O)O,Active,66,,,66
